url,status,ok,wordCount,lowContent,uniqueInternalLinks,weakInterlinking,indegree,orphanInSitemap,linksToMainDomain,linksToSubdomains,schemaScripts,schemaTypes,metaDescriptionLength,h1Count,topKeywords
https://cto.teamstation.dev/case-studies,200,true,319,true,66,false,248,false,77,2,1,"Corporation",109,1,"case:4.39%|read:3.76%|full:3.76%|study:3.76%|users:1.88%|sso:1.25%|enterprise:1.25%|scaling:1.25%"
https://cto.teamstation.dev/about,200,true,665,true,58,false,248,false,66,2,1,"Corporation",123,1,"platform:2.71%|team:2.11%|nearshore:1.8%|technology:1.8%|science:1.2%|provide:0.9%|secure:0.9%|building:0.9%"
https://cto.teamstation.dev/comparisons/unosquare,200,true,763,true,60,false,2,false,75,2,3,"Corporation|BreadcrumbList|FAQPage",159,1,"teamstation:3.15%|traditional:2.62%|compliance:2.23%|platform:1.97%|model:1.83%|integrated:1.7%|nearshore:1.44%|provides:1.44%"
https://cto.teamstation.dev/comparisons/devlane,200,true,772,true,60,false,2,false,75,2,2,"Corporation|BreadcrumbList|Product|FAQPage",159,1,"teamstation:3.24%|platform:2.2%|devlane:2.07%|type:1.68%|traditional:1.55%|operational:1.55%|security:1.55%|cost:1.55%"
https://cto.teamstation.dev/comparisons/new-gen-nearshore,200,true,570,true,61,false,1,false,73,2,2,"Corporation|FAQPage",115,1,"type:2.46%|nearshore:2.11%|cost:1.75%|co-pilot:1.75%|overhead:1.4%|hidden:1.4%|compliance:1.4%|daylight:1.4%"
https://cto.teamstation.dev/comparisons/faq,200,true,768,true,57,false,1,false,67,2,2,"Corporation|FAQPage",153,1,"type:3.39%|teamstation:2.86%|compliance:2.86%|vendors:2.34%|question:1.56%|name:1.56%|acceptedanswer:1.56%|answer:1.56%"
https://cto.teamstation.dev/comparisons/bairesdev,200,true,941,true,60,false,16,false,81,2,3,"Corporation|BreadcrumbList|FAQPage",150,1,"teamstation:2.98%|bairesdev:2.23%|tco:1.59%|predictable:1.49%|platform:1.38%|lower:1.28%|traditional:1.28%|security:1.28%"
https://cto.teamstation.dev/comparisons/deel,200,true,707,true,62,false,2,false,78,2,1,"Corporation",127,1,"talent:3.11%|platform:3.11%|teamstation:2.26%|deel:1.98%|team:1.7%|compliance:1.41%|solution:1.41%|find:1.13%"
https://cto.teamstation.dev/comparisons/andela,200,true,777,true,60,false,2,false,78,2,1,"Corporation",108,1,"teamstation:2.57%|platform:2.57%|talent:2.32%|nearshore:2.06%|global:1.8%|integrated:1.54%|andela:1.54%|operational:1.29%"
https://cto.teamstation.dev/comparisons/globant,200,true,783,true,61,false,2,false,77,2,1,"Corporation",145,1,"teamstation:2.81%|globant:2.3%|talent:2.04%|team:1.79%|platform:1.53%|control:1.53%|staff:1.28%|augmentation:1.28%"
https://cto.teamstation.dev/comparisons/globalsquad,200,true,825,true,59,false,1,false,73,2,2,"Corporation|BreadcrumbList",118,1,"model:2.67%|teamstation:2.3%|outsourcing:1.94%|black:1.94%|team:1.7%|box:1.7%|success:1.45%|globalsquad:0.97%"
https://cto.teamstation.dev/comparisons/coderslink,200,true,712,true,61,false,2,false,75,2,2,"Corporation|BreadcrumbList|Product|FAQPage",155,1,"teamstation:3.51%|coderslink:2.53%|platform:2.39%|integrated:2.11%|type:1.83%|compliance:1.69%|marketplace:1.4%|operational:1.4%"
https://cto.teamstation.dev/comparisons/nearsure,200,true,729,true,60,false,2,false,80,2,1,"Corporation",110,1,"teamstation:2.19%|platform:2.19%|integrated:1.65%|traditional:1.65%|tco:1.65%|security:1.37%|eor:1.37%|cost:1.37%"
https://cto.teamstation.dev/comparisons/kms,200,true,698,true,60,false,2,false,77,2,1,"Corporation",141,1,"technology:2.87%|teamstation:2.87%|model:2.01%|integrated:1.72%|outsourcing:1.72%|tco:1.72%|cost:1.43%|compliance:1.43%"
https://cto.teamstation.dev/comparisons/tecla,200,true,671,true,60,false,2,false,77,2,1,"Corporation",123,1,"teamstation:2.38%|tecla:2.09%|platform:2.09%|talent:2.09%|marketplace:2.09%|integrated:1.49%|model:1.49%|compliance:1.49%"
https://cto.teamstation.dev/comparisons/parallelstaff,200,true,714,true,59,false,2,false,75,2,2,"Corporation|BreadcrumbList",125,1,"teamstation:2.66%|platform:2.24%|model:1.96%|trial:1.68%|integrated:1.4%|parallelstaff:1.12%|taas:1.12%|scientific:1.12%"
https://cto.teamstation.dev/comparisons/howdy,200,true,1636,false,61,false,2,false,80,2,1,"Corporation",145,1,"security:2.32%|platform:1.59%|howdy:1.34%|compliance:1.22%|operational:1.22%|proof:1.22%|just:1.1%|tco:1.1%"
https://cto.teamstation.dev/comparisons/revelo,200,true,756,true,59,false,3,false,73,2,1,"Corporation",120,1,"team:3.7%|teamstation:2.12%|building:1.85%|marketplace:1.59%|teams:1.59%|management:1.59%|managed:1.32%|latam:1.32%"
https://cto.teamstation.dev/comparisons/terminal,200,true,777,true,59,false,2,false,77,2,2,"Corporation|BreadcrumbList",113,1,"teamstation:2.7%|terminal:1.54%|integrated:1.54%|hiring:1.54%|security:1.54%|model:1.29%|platform:1.29%|compliance:1.29%"
https://cto.teamstation.dev/comparisons,200,true,499,true,76,false,43,false,87,2,1,"Corporation",120,1,"risk:1.6%|key:1.6%|offenders:1.6%|teamstation:1.6%|vendors:1.2%|provide:1.2%|platform:1.2%|predictable:1.2%"
https://cto.teamstation.dev/comparisons/toptal,200,true,793,true,59,false,2,false,72,2,2,"Corporation|BreadcrumbList",107,1,"team:3.28%|teamstation:2.4%|teams:1.77%|individual:1.77%|toptal:1.51%|model:1.51%|managed:1.26%|marketplace:1.01%"
https://cto.teamstation.dev/faq,200,true,1322,true,59,false,248,false,68,2,2,"Corporation|FAQPage",103,1,"type:2.87%|hiring:1.66%|question:1.66%|name:1.36%|acceptedanswer:1.36%|answer:1.36%|text:1.36%|provides:1.21%"
https://cto.teamstation.dev/hire/by-country/argentina/angular,200,true,1095,true,59,false,2,false,73,2,1,"Corporation",187,1,"angular:3.84%|argentina:2.19%|team:1.46%|developers:1.28%|applications:1.28%|enterprise:1.1%|proof:1.1%|engineer:1.1%"
https://cto.teamstation.dev/hire/by-country/argentina/net,200,true,1097,true,59,false,2,false,73,2,1,"Corporation",160,1,"net:4.74%|argentina:2.19%|team:1.46%|developers:1.28%|core:1.28%|proof:1.09%|engineer:1.09%|build:0.91%"
https://cto.teamstation.dev/hire/by-country/argentina/java,200,true,1111,true,59,false,2,false,73,2,1,"Corporation",154,1,"java:3.78%|argentina:2.16%|team:1.44%|developers:1.26%|spring:1.08%|proof:1.08%|engineer:1.08%|build:0.9%"
https://cto.teamstation.dev/hire/by-country/argentina/go,200,true,1069,true,59,false,2,false,73,2,1,"Corporation",169,1,"argentina:2.25%|team:1.5%|developers:1.31%|proof:1.12%|model:1.12%|engineer:1.12%|services:0.94%|build:0.94%"
https://cto.teamstation.dev/hire/by-country/argentina/nextjs,200,true,1350,true,59,false,2,false,73,2,4,"Corporation|BreadcrumbList|Service|FAQPage",167,1,"next:4%|argentina:2.44%|type:1.33%|developers:1.33%|hire:1.26%|team:1.26%|engineer:0.96%|proof:0.89%"
https://cto.teamstation.dev/hire/by-country/argentina/node,200,true,1336,true,59,false,2,false,73,2,4,"Corporation|BreadcrumbList|Service|FAQPage",162,1,"node:3.74%|argentina:2.47%|type:1.35%|developers:1.35%|hire:1.27%|team:1.27%|engineer:0.97%|proof:0.9%"
https://cto.teamstation.dev/hire/by-country/argentina,200,true,2542,false,69,false,248,false,103,2,4,"Corporation|BreadcrumbList|Service|FAQPage",112,1,"argentina:1.69%|hire:1.34%|developers:1.22%|explore:1.02%|roles:1.02%|security:0.87%|talent:0.87%|type:0.75%"
https://cto.teamstation.dev/hire/by-country/argentina/python,200,true,1466,true,59,false,2,false,73,2,4,"Corporation|BreadcrumbList|Service|FAQPage",187,1,"python:3.89%|argentina:2.25%|team:1.3%|type:1.23%|developers:1.23%|hire:1.16%|build:0.95%|engineer:0.89%"
https://cto.teamstation.dev/hire/by-country/argentina/react,200,true,1465,true,59,false,2,false,73,2,4,"Corporation|BreadcrumbList|Service|FAQPage",180,1,"react:4.16%|argentina:2.25%|type:1.23%|developers:1.23%|hire:1.02%|team:1.02%|engineer:0.89%|proof:0.82%"
https://cto.teamstation.dev/hire/by-country/argentina/vue,200,true,1105,true,59,false,2,false,73,2,1,"Corporation",151,1,"vue:4.71%|argentina:2.17%|team:1.45%|developers:1.27%|proof:1.09%|engineer:1.09%|build:0.9%|tco:0.9%"
https://cto.teamstation.dev/hire/by-country/brazil/angular,200,true,1329,true,59,false,2,false,73,2,4,"Corporation|BreadcrumbList|Service|FAQPage",158,1,"angular:3.91%|brazil:2.48%|type:1.35%|developers:1.35%|hire:1.28%|team:1.28%|applications:1.2%|enterprise:0.98%"
https://cto.teamstation.dev/hire/by-country/brazil/react,200,true,1475,true,59,false,2,false,73,2,4,"Corporation|BreadcrumbList|Service|FAQPage",161,1,"react:4.14%|brazil:2.24%|type:1.22%|developers:1.22%|hire:1.02%|team:1.02%|engineer:0.88%|proof:0.81%"
https://cto.teamstation.dev/hire/by-country/brazil/go,200,true,1301,true,59,false,2,false,73,2,4,"Corporation|BreadcrumbList|Service|FAQPage",166,1,"brazil:2.54%|type:1.38%|developers:1.38%|hire:1.31%|team:1.31%|model:1%|engineer:1%|services:0.92%"
https://cto.teamstation.dev/hire/by-country/brazil/vue,200,true,1346,true,59,false,2,false,73,2,4,"Corporation|BreadcrumbList|Service|FAQPage",148,1,"vue:4.75%|brazil:2.45%|type:1.34%|developers:1.34%|hire:1.26%|team:1.26%|engineer:0.97%|proof:0.89%"
https://cto.teamstation.dev/hire/by-country/brazil/java,200,true,1350,true,59,false,2,false,73,2,4,"Corporation|BreadcrumbList|Service|FAQPage",151,1,"java:3.85%|brazil:2.44%|type:1.33%|developers:1.33%|hire:1.26%|team:1.26%|spring:1.19%|engineer:0.96%"
https://cto.teamstation.dev/hire/by-country/chile/angular,200,true,1091,true,59,false,2,false,73,2,1,"Corporation",157,1,"angular:3.85%|chile:2.2%|team:1.47%|developers:1.28%|applications:1.28%|enterprise:1.1%|proof:1.1%|engineer:1.1%"
https://cto.teamstation.dev/hire/by-country/chile/java,200,true,1107,true,59,false,2,false,73,2,1,"Corporation",150,1,"java:3.79%|chile:2.17%|team:1.45%|developers:1.26%|spring:1.08%|proof:1.08%|engineer:1.08%|build:0.9%"
https://cto.teamstation.dev/hire/by-country/brazil/net,200,true,1335,true,59,false,2,false,73,2,4,"Corporation|BreadcrumbList|Service|FAQPage",157,1,"net:4.79%|brazil:2.47%|type:1.35%|developers:1.35%|core:1.35%|hire:1.27%|team:1.27%|engineer:0.97%"
https://cto.teamstation.dev/hire/by-country/brazil/nextjs,200,true,1350,true,59,false,2,false,73,2,4,"Corporation|BreadcrumbList|Service|FAQPage",164,1,"next:4%|brazil:2.44%|type:1.33%|developers:1.33%|hire:1.26%|team:1.26%|engineer:0.96%|proof:0.89%"
https://cto.teamstation.dev/hire/by-country/chile/go,200,true,1065,true,59,false,2,false,73,2,1,"Corporation",165,1,"chile:2.25%|team:1.5%|developers:1.31%|proof:1.13%|model:1.13%|engineer:1.13%|services:0.94%|build:0.94%"
https://cto.teamstation.dev/hire/by-country/brazil,200,true,2616,false,70,false,248,false,103,2,4,"Corporation|BreadcrumbList|Service|FAQPage",110,1,"brazil:1.64%|hire:1.26%|developers:1.19%|explore:0.99%|roles:0.99%|talent:0.88%|security:0.84%|data:0.84%"
https://cto.teamstation.dev/hire/by-country/brazil/node,200,true,1336,true,59,false,2,false,73,2,4,"Corporation|BreadcrumbList|Service|FAQPage",159,1,"node:3.74%|brazil:2.47%|type:1.35%|developers:1.35%|hire:1.27%|team:1.27%|engineer:0.97%|proof:0.9%"
https://cto.teamstation.dev/hire/by-country/chile/net,200,true,1093,true,59,false,2,false,73,2,1,"Corporation",156,1,"net:4.76%|chile:2.2%|team:1.46%|developers:1.28%|core:1.28%|proof:1.1%|engineer:1.1%|build:0.91%"
https://cto.teamstation.dev/hire/by-country/chile/nextjs,200,true,1107,true,59,false,2,false,73,2,1,"Corporation",163,1,"next:4.16%|chile:2.17%|team:1.45%|developers:1.26%|proof:1.08%|engineer:1.08%|build:0.9%|tco:0.9%"
https://cto.teamstation.dev/hire/by-country/brazil/python,200,true,1308,true,59,false,2,false,73,2,4,"Corporation|BreadcrumbList|Service|FAQPage",158,1,"python:4.51%|brazil:2.52%|type:1.38%|developers:1.38%|hire:1.3%|team:1.15%|engineer:0.99%|senior:0.92%"
https://cto.teamstation.dev/hire/by-country/chile/node,200,true,1093,true,59,false,2,false,73,2,1,"Corporation",158,1,"node:3.84%|chile:2.2%|team:1.46%|developers:1.28%|proof:1.1%|engineer:1.1%|tco:0.91%|hire:0.82%"
https://cto.teamstation.dev/hire/by-country/chile,200,true,2498,false,70,false,248,false,103,2,4,"Corporation|BreadcrumbList|Service|FAQPage",107,1,"chile:1.8%|hire:1.32%|developers:1.2%|explore:1.2%|roles:1.04%|security:0.88%|type:0.76%|eor:0.76%"
https://cto.teamstation.dev/hire/by-country/chile/python,200,true,1217,true,59,false,2,false,73,2,1,"Corporation",183,1,"python:3.78%|chile:1.97%|team:1.48%|developers:1.15%|build:1.15%|proof:0.99%|engineer:0.99%|secure:0.82%"
https://cto.teamstation.dev/hire/by-country/chile/vue,200,true,1109,true,59,false,2,false,73,2,1,"Corporation",147,1,"vue:4.69%|chile:2.16%|team:1.44%|developers:1.26%|proof:1.08%|engineer:1.08%|tco:0.9%|hire:0.81%"
https://cto.teamstation.dev/hire/by-country/chile/react,200,true,1227,true,59,false,2,false,73,2,1,"Corporation",160,1,"react:4.07%|chile:1.96%|developers:1.14%|team:1.14%|proof:0.98%|engineer:0.98%|build:0.98%|secure:0.81%"
https://cto.teamstation.dev/hire/by-country/colombia/angular,200,true,1347,true,59,false,2,false,73,2,4,"Corporation|Service|BreadcrumbList|FAQPage",160,1,"angular:3.93%|colombia:2.52%|type:1.34%|hire:1.34%|developers:1.34%|team:1.26%|applications:1.19%|enterprise:0.97%"
https://cto.teamstation.dev/hire/by-country/colombia/go,200,true,1318,true,59,false,2,false,73,2,4,"Corporation|Service|BreadcrumbList|FAQPage",168,1,"colombia:2.58%|type:1.37%|hire:1.37%|developers:1.37%|team:1.29%|model:0.99%|engineer:0.99%|services:0.91%"
https://cto.teamstation.dev/hire/by-country/colombia/java,200,true,1368,true,59,false,2,false,73,2,4,"Corporation|Service|BreadcrumbList|FAQPage",153,1,"java:3.87%|colombia:2.49%|type:1.32%|hire:1.32%|developers:1.32%|team:1.24%|spring:1.17%|engineer:0.95%"
https://cto.teamstation.dev/hire/by-country/colombia/net,200,true,1353,true,59,false,2,false,73,2,4,"Corporation|Service|BreadcrumbList|FAQPage",159,1,"net:4.8%|colombia:2.51%|type:1.33%|hire:1.33%|developers:1.33%|core:1.33%|team:1.26%|engineer:0.96%"
https://cto.teamstation.dev/hire/by-country/colombia/nextjs,200,true,1347,true,59,false,2,false,73,2,4,"Corporation|BreadcrumbList|Service|FAQPage",166,1,"next:4.01%|colombia:2.45%|type:1.34%|developers:1.34%|hire:1.26%|team:1.26%|engineer:0.97%|proof:0.89%"
https://cto.teamstation.dev/hire/by-country/colombia/node,200,true,1333,true,59,false,2,false,73,2,4,"Corporation|BreadcrumbList|Service|FAQPage",161,1,"node:3.75%|colombia:2.48%|type:1.35%|developers:1.35%|hire:1.28%|team:1.28%|engineer:0.98%|proof:0.9%"
https://cto.teamstation.dev/hire/by-country/colombia,200,true,2625,false,69,false,248,false,103,2,4,"Corporation|BreadcrumbList|Service|FAQPage",123,1,"colombia:1.52%|developers:1.33%|hire:1.26%|security:0.99%|explore:0.99%|roles:0.99%|talent:0.91%|team:0.84%"
https://cto.teamstation.dev/hire/by-country/colombia/python,200,true,1326,true,59,false,2,false,73,2,4,"Corporation|Service|BreadcrumbList|FAQPage",160,1,"python:4.52%|colombia:2.56%|type:1.36%|hire:1.36%|developers:1.36%|team:1.13%|engineer:0.98%|senior:0.9%"
https://cto.teamstation.dev/hire/by-country/colombia/react,200,true,1313,true,59,false,2,false,73,2,4,"Corporation|Service|BreadcrumbList|FAQPage",163,1,"react:4.57%|colombia:2.59%|type:1.37%|hire:1.37%|developers:1.37%|team:1.29%|engineer:0.99%|proof:0.91%"
https://cto.teamstation.dev/hire/by-country/colombia/vue,200,true,1343,true,59,false,2,false,73,2,4,"Corporation|BreadcrumbList|Service|FAQPage",150,1,"vue:4.77%|colombia:2.46%|type:1.34%|developers:1.34%|hire:1.27%|team:1.27%|engineer:0.97%|proof:0.89%"
https://cto.teamstation.dev/hire/by-country/costa-rica/angular,200,true,1003,true,59,false,2,false,73,2,1,"Corporation",176,1,"angular:3.79%|costa:3.39%|rica:2.59%|team:1.6%|developers:1.4%|enterprise:1.2%|applications:1.2%|build:1.2%"
https://cto.teamstation.dev/hire/by-country/costa-rica/guatemala,308,false,0,false,0,false,0,true,0,0,0,"",0,0,""
https://cto.teamstation.dev/hire/by-country/costa-rica/go,200,true,989,true,59,false,2,false,73,2,1,"Corporation",181,1,"costa:3.44%|rica:2.63%|developers:1.42%|team:1.42%|model:1.21%|build:1.01%|proof:1.01%|building:1.01%"
https://cto.teamstation.dev/hire/by-country/costa-rica/java,200,true,1029,true,59,false,2,false,73,2,1,"Corporation",177,1,"java:4.08%|costa:3.3%|rica:2.53%|developers:1.36%|team:1.36%|spring:1.17%|build:1.17%|enterprise:0.97%"
https://cto.teamstation.dev/hire/by-country/costa-rica/net,200,true,1029,true,59,false,2,false,73,2,1,"Corporation",183,1,"net:4.86%|costa:3.3%|rica:2.53%|developers:1.36%|team:1.36%|core:1.17%|enterprise:0.97%|proof:0.97%"
https://cto.teamstation.dev/hire/by-country/costa-rica/nextjs,200,true,1021,true,59,false,2,false,73,2,1,"Corporation",190,1,"next:3.92%|costa:3.33%|rica:2.55%|team:1.57%|developers:1.37%|proof:0.98%|build:0.98%|tco:0.98%"
https://cto.teamstation.dev/hire/by-country/costa-rica/node,200,true,1015,true,59,false,2,false,73,2,1,"Corporation",185,1,"node:3.74%|costa:3.35%|rica:2.56%|team:1.58%|developers:1.38%|secure:0.99%|build:0.99%|tco:0.99%"
https://cto.teamstation.dev/hire/by-country/costa-rica/python,200,true,1031,true,59,false,2,false,73,2,1,"Corporation",167,1,"python:3.88%|costa:3.3%|rica:2.52%|team:1.55%|developers:1.36%|enterprise:1.16%|build:1.16%|tco:0.97%"
https://cto.teamstation.dev/hire/by-country/costa-rica,200,true,2556,false,69,false,248,false,103,2,4,"Corporation|BreadcrumbList|Service|FAQPage",105,1,"costa:2.07%|rica:1.64%|hire:1.29%|explore:1.17%|developers:1.13%|roles:1.02%|security:0.94%|talent:0.94%"
https://cto.teamstation.dev/hire/by-country/costa-rica/react,200,true,1021,true,59,false,2,false,73,2,1,"Corporation",177,1,"react:4.31%|costa:3.33%|rica:2.55%|team:1.57%|developers:1.37%|build:1.18%|proof:0.98%|state:0.98%"
https://cto.teamstation.dev/hire/by-country/costa-rica/vue,200,true,1007,true,59,false,2,false,73,2,1,"Corporation",174,1,"vue:4.77%|costa:3.38%|rica:2.58%|team:1.59%|developers:1.39%|proof:0.99%|tco:0.99%|platform:0.79%"
https://cto.teamstation.dev/hire/by-country/ecuador/angular,200,true,1093,true,59,false,2,false,73,2,1,"Corporation",159,1,"angular:3.84%|ecuador:2.2%|team:1.46%|developers:1.28%|applications:1.28%|enterprise:1.1%|proof:1.1%|engineer:1.1%"
https://cto.teamstation.dev/hire/by-country/ecuador/java,200,true,1109,true,59,false,2,false,73,2,1,"Corporation",152,1,"java:3.79%|ecuador:2.16%|team:1.44%|developers:1.26%|spring:1.08%|proof:1.08%|engineer:1.08%|build:0.9%"
https://cto.teamstation.dev/hire/by-country/ecuador/go,200,true,1067,true,59,false,2,false,73,2,1,"Corporation",167,1,"ecuador:2.25%|team:1.5%|developers:1.31%|proof:1.12%|model:1.12%|engineer:1.12%|services:0.94%|build:0.94%"
https://cto.teamstation.dev/hire/by-country/ecuador/net,200,true,1095,true,59,false,2,false,73,2,1,"Corporation",158,1,"net:4.75%|ecuador:2.19%|team:1.46%|developers:1.28%|core:1.28%|proof:1.1%|engineer:1.1%|build:0.91%"
https://cto.teamstation.dev/hire/by-country/ecuador/nextjs,200,true,1109,true,59,false,2,false,73,2,1,"Corporation",165,1,"next:4.15%|ecuador:2.16%|team:1.44%|developers:1.26%|proof:1.08%|engineer:1.08%|build:0.9%|tco:0.9%"
